name,capacity,room_type,available_days
Lecture Hall LH-01,400,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-02,400,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-03,350,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-04,350,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-05,300,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-06,300,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-07,300,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-08,250,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-09,250,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-10,250,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-11,250,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-12,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-13,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-14,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-15,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-16,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-17,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-18,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-19,200,lecture,Mon;Tue;Wed;Thu;Fri
Lecture Hall LH-20,200,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-01,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-02,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-03,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-04,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-05,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-06,90,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-07,90,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-08,90,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-09,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-10,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-11,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-12,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-13,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-14,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-15,80,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-16,90,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-17,90,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-18,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-19,100,lecture,Mon;Tue;Wed;Thu;Fri
Medium Hall MH-20,100,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-01,40,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-02,40,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-03,40,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-04,35,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-05,35,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-06,35,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-07,35,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-08,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-09,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-10,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-11,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-12,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-13,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-14,30,lecture,Mon;Tue;Wed;Thu;Fri
Seminar Room SR-15,30,lecture,Mon;Tue;Wed;Thu;Fri
Research Lab RL-01,30,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-02,30,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-03,28,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-04,28,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-05,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-06,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-07,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-08,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-09,28,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-10,28,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-11,30,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-12,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-13,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-14,25,lab,Mon;Tue;Wed;Thu;Fri
Research Lab RL-15,30,lab,Mon;Tue;Wed;Thu;Fri
Computer Lab CL-01,40,lab,Mon;Tue;Wed;Thu;Fri
Computer Lab CL-02,40,lab,Mon;Tue;Wed;Thu;Fri
Computer Lab CL-03,40,lab,Mon;Tue;Wed;Thu;Fri
Computer Lab CL-04,40,lab,Mon;Tue;Wed;Thu;Fri
Computer Lab CL-05,40,lab,Mon;Tue;Wed;Thu;Fri
